policy,distribution,block_size_bytes,total_capacity_mb,files_created,avg_write_latency_ms,avg_read_latency_ms,write_throughput_mbps,load_imbalance,metadata_kb,logical_data_kb,wasted_space_kb,frag_percent
roundrobin,uniform_small,32768,16,499,0.138928,0.081602,224.937050,0.000000,17.64,3004.00,12964.00,81.19
leastloaded,uniform_small,32768,16,499,0.133931,0.082366,233.328341,0.000000,17.64,3004.00,12964.00,81.19
sequential,uniform_small,32768,16,499,0.126897,0.079373,246.262039,0.000000,17.64,3004.00,12964.00,81.19
fileaware,uniform_small,32768,16,474,0.138245,0.084297,226.048144,0.000000,16.76,2944.00,12224.00,80.59
roundrobin,uniform_large,32768,16,283,0.258840,0.410475,218.424938,0.000000,10.94,13080.00,3304.00,20.17
leastloaded,uniform_large,32768,16,283,0.247308,0.392367,228.609700,0.000000,10.94,13080.00,3304.00,20.17
sequential,uniform_large,32768,16,276,0.224656,0.434024,250.987310,0.000000,10.66,12748.00,3188.00,20.01
fileaware,uniform_large,32768,16,280,0.249111,0.427028,229.387469,0.000000,10.84,13136.00,3248.00,19.82
roundrobin,bimodal,32768,16,425,0.172912,0.137908,217.298716,0.000000,15.37,6972.00,9380.00,57.36
leastloaded,bimodal,32768,16,425,0.158012,0.154208,237.789339,0.000000,15.37,6972.00,9380.00,57.36
sequential,bimodal,32768,16,425,0.155936,0.150081,240.955156,0.000000,15.37,6972.00,9380.00,57.36
fileaware,bimodal,32768,16,427,0.164869,0.143201,227.276195,0.000000,15.44,6892.00,9492.00,57.93
roundrobin,web_realistic,32768,16,417,0.171756,0.171869,222.085116,0.000000,15.11,7536.00,8752.00,53.73
leastloaded,web_realistic,32768,16,417,0.161322,0.192543,236.449483,0.000000,15.11,7536.00,8752.00,53.73
sequential,web_realistic,32768,16,412,0.172775,0.178084,221.260366,0.000000,14.94,7480.00,8648.00,53.62
fileaware,web_realistic,32768,16,411,0.178581,0.194169,217.992642,0.000000,14.94,7956.00,8428.00,51.44
roundrobin,video,32768,16,50,1.435181,2.420280,220.355533,0.000000,3.63,15564.00,628.00,3.88
leastloaded,video,32768,16,50,1.489297,2.149429,212.348529,0.000000,3.63,15564.00,628.00,3.88
sequential,video,32768,16,48,1.226186,2.310173,253.262430,0.000000,3.46,14668.00,596.00,3.90
fileaware,video,32768,16,53,1.408899,2.540771,214.271469,0.000000,3.75,15712.00,672.00,4.10
