policy,num_nodes,files_created,avg_write_latency_ms,throughput_mbps,load_imbalance,final_fill_pct
sequential,2,158,0.673117,26.187962,0.000000,71
policy,num_nodes,files_created,avg_write_latency_ms,throughput_mbps,load_imbalance,final_fill_pct
policy,num_nodes,files_created,avg_write_latency_ms,throughput_mbps,load_imbalance,final_fill_pct
sequential,4,158,0.391038,45.078971,0.000000,71
sequential,8,158,0.370225,47.613085,0.000000,71
sequential,16,158,0.402661,43.777750,0.008000,71
roundrobin,2,158,0.381958,46.150548,0.000000,71
roundrobin,4,158,0.431015,40.897831,0.000000,71
roundrobin,8,158,0.420674,41.903125,0.000000,71
roundrobin,16,158,0.395278,44.595424,0.008000,71
leastloaded,2,158,0.411501,42.837295,0.000000,71
leastloaded,4,158,0.432450,40.762074,0.000000,71
leastloaded,8,158,0.427126,41.270232,0.000000,71
leastloaded,16,158,0.421141,41.856694,0.008000,71
weightedroundrobin,2,158,0.411014,42.888024,0.000000,71
weightedroundrobin,4,158,0.418097,42.161439,0.000000,71
weightedroundrobin,8,158,0.419509,42.019500,0.000000,71
weightedroundrobin,16,158,0.431299,40.870871,0.008000,71
rand,2,134,0.465902,43.923556,0.000000,70
rand,4,163,0.417412,40.533364,0.000000,70
rand,8,163,0.418809,40.398116,0.000000,70
rand,16,163,0.424715,39.836366,0.008000,70
fileaware,2,134,0.475280,43.486261,0.000000,70
fileaware,4,134,0.509093,40.597946,0.000000,70
fileaware,8,134,0.492969,41.925839,0.000000,70
fileaware,16,134,0.483171,42.776070,0.008000,70
